Mortality,Ca,Location
1247,105,
1668,17,N
1466,5,
1800,14,N
1609,18,N
1558,10,N
1807,15,N
1299,78,
1637,10,N
1359,84,
1392,73,
1519,21,
1755,12,N
1307,78,
1254,96,
1491,20,N
1555,39,N
1428,39,N
1318,122,N
1260,21,
1723,44,N
1379,94,N
1742,8,N
1574,9,N
1569,91,N
1096,138,
1591,16,N
1402,37,
1702,44,N
1581,14,
1309,59,
1259,133,
1427,27,N
1724,6,N
1175,107,
1486,5,
1456,90,
1696,6,N
1236,101,
1711,13,N
1444,14,N
1591,49,N
1987,8,N
1495,14,N
1369,68,
1257,50,
1587,75,N
1713,71,N
1557,13,N
1640,57,N
1709,71,N
1625,13,
1625,20,N
1527,60,
1627,53,
1486,122,
1772,15,N
1828,8,N
1704,26,N
1485,81,
1378,71,N
