days,group,,,,,,
40,G1,,,,,,
37,G1,,,,,,
44,G1,,,,,,
47,G1,,,,,,
47,G1,,,,,,
47,G1,,,,,,
68,G1,,,,,,
47,G1,,,,,,
54,G1,,,,,,
61,G1,,,,,,
71,G1,,,,,,
75,G1,,,,,,
89,G1,,,,,,
58,G1,,,,,,
59,G1,,,,,,
62,G1,,,,,,
79,G1,,,,,,
96,G1,,,,,,
58,G1,,,,,,
62,G1,,,,,,
70,G1,,,,,,
72,G1,,,,,,
75,G1,,,,,,
96,G1,,,,,,
75,G1,,,,,,
46,G2,,,,,,
42,G2,,,,,,
65,G2,,,,,,
46,G2,,,,,,
58,G2,,,,,,
42,G2,,,,,,
48,G2,,,,,,
58,G2,,,,,,
50,G2,,,,,,
80,G2,,,,,,
63,G2,,,,,,
65,G2,,,,,,
70,G2,,,,,,
70,G2,,,,,,
72,G2,,,,,,
97,G2,,,,,,
46,G2,,,,,,
56,G2,,,,,,
70,G2,,,,,,
70,G2,,,,,,
72,G2,,,,,,
76,G2,,,,,,
90,G2,,,,,,
76,G2,,,,,,
92,G2,,,,,,
35,G3,,,,,,
37,G3,,,,,,
49,G3,,,,,,
46,G3,,,,,,
63,G3,,,,,,
39,G3,,,,,,
46,G3,,,,,,
56,G3,,,,,,
63,G3,,,,,,
65,G3,,,,,,
56,G3,,,,,,
65,G3,,,,,,
70,G3,,,,,,
63,G3,,,,,,
65,G3,,,,,,
70,G3,,,,,,
77,G3,,,,,,
81,G3,,,,,,
86,G3,,,,,,
70,G3,,,,,,
70,G3,,,,,,
77,G3,,,,,,
77,G3,,,,,,
81,G3,,,,,,
77,G3,,,,,,
21,G4,,,,,,
40,G4,,,,,,
44,G4,,,,,,
54,G4,,,,,,
36,G4,,,,,,
40,G4,,,,,,
56,G4,,,,,,
60,G4,,,,,,
48,G4,,,,,,
53,G4,,,,,,
60,G4,,,,,,
60,G4,,,,,,
65,G4,,,,,,
68,G4,,,,,,
60,G4,,,,,,
81,G4,,,,,,
81,G4,,,,,,
48,G4,,,,,,
48,G4,,,,,,
56,G4,,,,,,
68,G4,,,,,,
75,G4,,,,,,
81,G4,,,,,,
48,G4,,,,,,
68,G4,,,,,,
16,G5,,,,,,
19,G5,,,,,,
19,G5,,,,,,
32,G5,,,,,,
33,G5,,,,,,
33,G5,,,,,,
30,G5,,,,,,
42,G5,,,,,,
42,G5,,,,,,
33,G5,,,,,,
26,G5,,,,,,
30,G5,,,,,,
40,G5,,,,,,
54,G5,,,,,,
34,G5,,,,,,
34,G5,,,,,,
47,G5,,,,,,
47,G5,,,,,,
42,G5,,,,,,
47,G5,,,,,,
54,G5,,,,,,
54,G5,,,,,,
56,G5,,,,,,
60,G5,,,,,,
44,G5,,,,,,
