Chicks,Survived,Died,Region,Flood
46,39,7,Fiordland,No
59,27,32,Fiordland,No
56,48,8,Fiordland,No
51,42,9,Fiordland,No
78,68,10,Fiordland,No
80,56,24,Fiordland,No
15,15,0,Fiordland,Yes
19,16,3,Fiordland,Yes
61,48,13,Fiordland,No
3,3,0,Oparara,No
21,15,6,Oparara,No
10,7,3,Oparara,No
15,5,10,Oparara,No
16,4,12,Oparara,No
12,6,6,Oparara,No
23,3,20,Oparara,Yes
2,0,2,Oparara,No
3,3,0,Oparara,Yes
40,23,17,Oparara,No
51,47,4,TeUrewera,No
48,46,2,TeUrewera,No
6,1,5,TeUrewera,Yes
52,12,40,TeUrewera,No
30,10,20,TeUrewera,No
41,10,31,TeUrewera,No
66,32,34,TeUrewera,No
52,27,25,TeUrewera,No
43,13,30,TeUrewera,No
18,1,17,TeUrewera,Yes
3,0,3,TeUrewera,Yes
35,35,0,TeUrewera,No
23,20,3,TeUrewera,No
